reference,asset,beta,eg_pvalue,adf_pvalue,kss_stat,observations,score
JohnsonJohnson,NextEraEnergy,2.3844356751818885,0.08763349201482318,0.015149224992787326,-7.090449466094062,13349,0.8118276636170167
VIX,Russell2000,0.014050399992674805,2.3924653033671535e-09,0.0027496309887623392,-8.094510692384302,9087,0.8122007026196579
Wheat,FTSE100,0.08402007468117804,0.07409364495689726,0.03311854810085649,-7.095761026922642,6286,0.816788295750018
VIX,FTSE100,0.003156166400144365,5.756616364523525e-09,1.0167338531897264e-07,-8.232831223488771,8920,0.8232832297788788
Chevron,CocaCola,2.2082425439560787,1.6372255506956557e-05,3.137058042300013e-06,-8.363623557302683,16128,0.8363818650438175
VIX,Chevron,0.21667312904472794,2.206915313689779e-09,0.008740969069490364,-8.443175671891128,9087,0.8530585384655185
VIX,HangSeng,0.0009497867054293084,3.6881137749766524e-09,5.223368351274894e-06,-8.591224772585724,8684,0.8591277043150374
VIX,ExxonMobil,0.31456251592316686,2.11297077518557e-09,0.011235327506632295,-8.527922546839957,9087,0.8640275843035987
VIX,BankOfAmerica,0.7481177816233162,2.679725728731425e-09,0.0010445188156665963,-8.633082783690238,9087,0.8643527998644162
VIX,Platinum,0.01649322813164049,2.9222823337204446e-07,0.00011156654053509674,-8.781766028854841,6401,0.8782884616542527
Corn,CrudeOilWTI,6.170341776209773,0.022103987526088453,0.0025590211601999426,-12.355656248967756,6345,1.2602286335830641
CrudeOilWTI,Corn,0.15179872371185696,0.018069031970357266,0.002477479651087168,-13.453553753695545,6345,1.365901886990999
Soybeans,CrudeOilWTI,14.892650703417472,0.01362302138383466,0.0008321149461565365,-15.44801907766427,6363,1.5592570440964182
CrudeOilWTI,Soybeans,0.06359343665691826,0.005358395637190954,0.0008543008828074326,-16.08799628271674,6363,1.6150123247916726
CrudeOilWTI,Wheat,0.1187336420882023,0.0005446310521182516,2.7555617699590343e-05,-18.394614643492428,6356,1.8400336510190607
Wheat,CrudeOilWTI,7.9824238054819565,0.00011304482755873515,1.8256621964862225e-05,-18.5169239351334,6356,1.8518236949628635
BrentCrude,CrudeOilWTI,1.0708188197683843,0.004687537256855984,0.0007323233756038862,-35.426771698774864,4604,3.5480970305099464
CrudeOilWTI,BrentCrude,0.9298043031442303,0.0028819157593403606,0.0006910814220083247,-35.49316050411885,4604,3.5528890475932333
